학원명,학원주소,전화번호,교습과정
분석수학학원,"경기도 구리시 동구릉로85번길 20 , 2층 (인창동)",031-566-1155,보습
수학사랑학원,"경기도 구리시 장자대로 78 , 5층 일부 (수택동, 연성클리닉센터)",031-558-0579,보습
시그마수학학원,경기도 구리시 동구릉로53번길 67 LG아파트 상가 2층 (인창동),031-564-0909,보습
시매쓰클럽학원,경기도 구리시 장자대로86번길 14-10 4층 (수택동),031-563-7942,보습
아르케수학학원,경기도 구리시 장자대로86번길 54 금호프라자401호 (수택동),031-555-2201,보습
고수학원,"경기도 구리시 체육관로80번길 19 , 도레미상가 601호 전체, 602호 일부 (수택동)",031-554-4104,보습
GNB영어쎈수학인창학원,"경기도 구리시 건원대로34번길 11 , 502호 (인창동)",031-553-0080,보습
더클레버수학학원,"경기도 구리시 건원대로34번길 11 , 302호 (인창동,V샤르망)",031-569-0035,보습
구리카이스트수학학원,경기도 구리시 체육관로80번길 35   보령빌딩 5층 502호 (수택동),031-555-3936,보습
현앤장수학학원,"경기도 구리시 이문안로 68 , 501호 일부 (수택동, 동진프라자)",031-515-7115,보습
고수수학정시관학원,경기도 구리시 체육관로74번길 23   4층일부 (수택동),031-565-0597,보습
지인지조수학학원,"경기도 구리시 건원대로34번길 27 , 712호,718호,719호 (인창동)",031-566-4300,보습
가우스수학학원,"경기도 구리시 장자대로86번길 54 , 203호 (수택동,금호프라자)",031-551-4240,보습
송수학학원,"경기도 구리시 벌말로 183  1층일부 2층일부 3층일부(수택동,종로학원)",031-555-0059,보습
멘토스영어수학학원,"경기도 구리시 동구릉로 118 , 3층 일부 (인창동)",031-562-1211,보습
CAN수학학원,경기도 구리시 동구릉로 100   3층전체 (인창동),031-562-3379,보습
TMS수학과학학원,"경기도 구리시 건원대로34번길 25 , 505호 일부, 506호 (인창동, 신아월드코아)",031-566-7544,보습
수학마루학원,"경기도 구리시 체육관로80번길 19 , 801호일부 (수택동)",031-552-2134,보습
삼성영어셀파수학학원,"경기도 구리시 동구릉로129번길 41 , 202호 전 (인창동)",031-558-0303,보습
쎈SSEN수학학원,"경기도 구리시 체육관로80번길 42 , 3층 일",031-551-1318,보습
쎈수학러닝센터토평EM영수전문학원,"경기도 구리시 장자대로86번길 14-4 , 4층 (수택동, 09스페이스빌딩)",031-568-8209,보습
고수수학학원,"경기도 구리시 체육관로80번길 19 , 501호, 502호 일부 (수택동)",031-553-8816,보습
김선영수학영어학원,"경기도 구리시 동구릉로85번길 16 , 5층 일부 (인창동,경호빌딩)",031-555-2588,보습
아담리즈수학구리센터학원,"경기도 구리시 건원대로34번길 17 , 901호 일부 (인창동,금영빌딩)",031-555-8446,기타(소)
구리구주이배수학학원,"경기도 구리시 이문안로 68 , 601호 (수택동, 동진프라자)",031-567-9624,보습
조이매스구리센터학원,"경기도 구리시 동구릉로103번길 35 , (인창동,다인프라자) 501호 일부 (인창동,다인프라자)",031-551-5044,보습
유탑영어수학학원,"경기도 구리시 건원대로76번길 34 , 206-1호 (인창동,삼보아파트상가)",031-567-8888,보습·논술
윤수학학원,"경기도 구리시 벌말로 200 , 302호 일부, 303호 (토평동, 새롬프라자10차)",031-514-5406,보습
구리인창유투엠수학학원,"경기도 구리시 동구릉로85번길 34 , 2층 (인창동, 삼광학원)",031-567-2003,보습
줄트수학학원,"경기도 구리시 이문안로 10 , 3층 (교문동)",031-555-2508,보습
갈매유투엠수학학원,"경기도 구리시 갈매중앙로 87 , 403호,404호,502호 (갈매동, 메이저타워)",031-524-9876,보습
딥매쓰장자학원,"경기도 구리시 장자대로86번길 14-11 , 4층일부 (수택동)",070-4419-0988,보습
한수학학원,"경기도 구리시 이문안로 95 , 303호 일부 (수택동)",031-563-5002,보습
갈매수학학원,"경기도 구리시 갈매순환로 11 , 402호 (갈매동, CM PARK 빌딩)",031-573-2345,보습
헬퍼수학학원,"경기도 구리시 체육관로80번길 35 , 5층 일부 (수택동, 보령빌딩)",NA,보습
갈매윤수학학원,"경기도 구리시 갈매순환로 198 , 402호 (갈매동)",NA,보습
해법영수학원,"경기도 구리시 동구릉로 79 , 3층 일부 (인창동,상빈빌딩)",NA,보습
더큰수학학원,"경기도 구리시 갈매중앙로 79 , 502호 (갈매동)",NA,보습
구리이룸수학영어학원,"경기도 구리시 이문안로 31 , 305호 (교문동, 두산아파트)",NA,보습
애플수학학원,"경기도 구리시 동구릉로 102 , 2층일부,3층일부 (인창동)",031-551-9100,보습
토마스앤에이블수학학원,"경기도 구리시 체육관로80번길 41 , 3층일부 (수택동)",NA,보습
뉴비전수학학원,"경기도 구리시 동구릉로 91 , 4층 (인창동)",031-554-9856,보습
피티엠수학학원,"경기도 구리시 체육관로80번길 23 , 3층 일부 (수택동)",031-555-0969,보습
쎈수학러닝센터공터영어학원,"경기도 구리시 갈매중앙로 91 , 402호 (갈매동)",NA,보습
수학대장학원,"경기도 구리시 갈매중앙로 79 , 607호 (갈매동)",NA,보습
바른샘수학학원,"경기도 구리시 갈매순환로 15 , 204호 (갈매동, 마운틴프라자)",031-572-2695,보습
서성민수학학원,"경기도 구리시 체육관로74번길 33 , 7층 일부 (수택동)",NA,보습
라온수학학원,"경기도 구리시 검배로 124 , 2층 일부 (토평동, 정민빌딩)",NA,보습
갈매해법수학학원,"경기도 구리시 갈매순환로 7 , 205호 (갈매동, 에이스프라자)",031-527-0922,보습
맨투맨키즈갈매센터사고력수학학원,"경기도 구리시 갈매중앙로 79 , 307호 (갈매동)",NA,보습
구리수택유투엠수학학원,"경기도 구리시 장자대로86번길 14-6 , 3층 일부 (수택동, 거성빌딩)",NA,보습
꽁스국어수학학원,"경기도 구리시 동구릉로129번길 23 , 202호, 203호 (인창동, 인창2차이-편한세상)",NA,보습
홀름보에수학학원,"경기도 구리시 동구릉로 95 , 201~202호 (인창동, 일신건영아파트)",NA,보습
CSE과학수학학원,"경기도 구리시 체육관로80번길 42 , 3층 일부(좌) (수택동)",NA,보습
베스트수학학원,"경기도 구리시 장자대로86번길 48-5 , 3층 일부 (수택동, 대림빌딩)",NA,보습
유투엠수학학원,"경기도 구리시 건원대로76번길 41 , 4층 일부 (인창동, 한마음유치원)",NA,보습
영어수학사관학원,"경기도 구리시 건원대로 77 , 2층 일부 (인창동, 버섯마을)",NA,보습
이화수학학원,"경기도 구리시 검배로 128 , 3층 일부 (토평동, 승민빌딩)",NA,보습
사고력Q수학학원,"경기도 구리시 갈매순환로 92 , 301호 (갈매동)",NA,기타(소)
구리홀름보에수학학원,"경기도 구리시 동구릉로85번길 30 , 2층 일부 (인창동, 태성빌딩)",NA,보습
별하수학학원,"경기도 구리시 갈매순환로 17 , 301호 (갈매동)",NA,보습
구리차수학학원,"경기도 구리시 장자대로86번길 46 , 402호 일부 403호 전 (수택동,금호프라자2)",031-552-5312,보습
잉글리시아이수학의달인학원,"경기도 구리시 건원대로76번길 34 , 303호, 304호 일부 (인창동, 삼보아파트단지내상가)",031-555-5877,보습
